MODEL,SEHIR,YAKIT_TIPI,VITES_TIPI,YIL,KM,MOTOR_HACMI,MOTOR_GUCU,FIYAT
istanbul ,Polo,Benzin,Otomatik Vites,2018,62.122,1300,100,352.000
ankara ,Jetta,Benzin,Düz Vites,2007,101.000,1301,101,230
istanbul ,Golf,Benzin,Düz Vites,2014,74.278,1300,101,295.000
istanbul ,Polo,Benzin,Düz Vites,1998,265.500,1301,100,45.000
istanbul ,Passat,Dizel,Otomatik Vites,2014,227.000,1801,126,307.500
ankara ,Polo,Benzin,Otomatik Vites,1998,207.000,1301,51,54.000
ankara ,1600,Benzin,Otomatik Vites,1997,193.000,1301,51,54.000
adana ,Polo,Benzin,Düz Vites,2001,380.000,1301,51,55.000
istanbul ,Polo,Benzin,Düz Vites,1994,125.000,1601,76,58.000
istanbul ,Polo,Benzin,Düz Vites,1998,159.000,1301,76,58.000
izmir ,Polo,Benzin,Düz Vites,1999,250.000,1301,76,60.500
istanbul ,Jetta,Benzin,Düz Vites,2017,88.364,1301,101,299.500
istanbul ,Polo,Benzin,Düz Vites,2006,217.000,1301,51,70.500
istanbul ,Polo,Benzin,Düz Vites,2002,209.000,1301,51,75.000
istanbul ,Golf,Benzin,Otomatik Vites,2001,256.711,1601,101,77.000
ankara ,Bora,Benzin,Düz Vites,1999,273.000,1301,101,77.000
izmir ,Polo,Benzin,Düz Vites,2000,247.000,1301,76,77.000
istanbul ,Bora,Benzin,Düz Vites,2001,286.000,1301,101,78.000
istanbul ,Polo,Benzin,Düz Vites,2006,164.000,1301,100,79.000
ankara ,Polo,Dizel,Düz Vites,2006,200.000,1301,100,82.000
istanbul ,Passat,Dizel,Otomatik Vites,2020,26.000,1601,101,692.500
adana ,Bora,Benzin,Düz Vites,2005,245.000,1301,101,82.500
istanbul ,Golf,Dizel,Düz Vites,2006,301.000,1801,101,85.000
ankara ,1600,Benzin,Düz Vites,2000,181.000,1301,101,86.000
ankara ,Golf,Benzin,Düz Vites,1999,298.000,1301,101,86.000
ankara ,Golf,Benzin,Düz Vites,2003,240.000,1301,101,89.000
ankara ,1600,Benzin,Düz Vites,2000,180.000,1301,101,90.000
ankara ,Bora,Benzin,Düz Vites,2004,237.000,1301,101,91.500
istanbul ,Bora,Benzin,Otomatik Vites,2001,306.250,1301,100,92.500
adana ,Jetta,Benzin,Düz Vites,2006,339.000,1601,101,95.000
ankara ,Passat,Benzin,Düz Vites,2001,444.000,1801,126,95.000
istanbul ,Jetta,Benzin,Düz Vites,2008,188.000,1301,101,96.000
istanbul ,Polo,Dizel,Düz Vites,2012,235.000,1300,76,98.500
istanbul ,Polo,Benzin,Düz Vites,2001,212.000,1301,76,98.500
istanbul ,Polo,Dizel,Düz Vites,2012,137.000,1300,100,105.000
ankara ,Bora,Benzin,Düz Vites,2004,280.000,1301,101,105.000
istanbul ,1600,Dizel,Düz Vites,2008,229.000,2001,126,105.000
ankara ,Passat,Benzin,Düz Vites,1997,310.000,1801,151,105.500
izmir ,Passat,Benzin,Düz Vites,2004,14.000,1301,101,105.700
izmir ,Golf,Benzin,Otomatik Vites,2007,162.000,1301,101,106.000
istanbul ,Golf,Dizel,Yarý Otomatik Vites,2017,110.800,1301,101,438.000
ankara ,Passat,Benzin,Düz Vites,2003,219.000,1801,126,110.000
bursa ,Polo,Benzin,Düz Vites,2013,114.500,1801,51,110.500
ankara ,Polo,Dizel,Düz Vites,2014,128.500,1300,51,111.000
ankara ,Polo,Dizel,Düz Vites,2014,128.500,1300,51,111.000
istanbul ,Polo,Dizel,Düz Vites,2014,250.000,1300,51,112.500
izmir ,Polo,Dizel,Düz Vites,2006,155.000,1301,100,113.000
ankara ,Golf,Benzin,Yarý Otomatik Vites,2008,161.100,1301,126,113.500
istanbul ,Passat,Dizel,Yarý Otomatik Vites,2016,65.000,1301,101,305.000
ankara ,Polo,Benzin,Düz Vites,2011,305.000,1300,51,114.500
istanbul ,Polo,Benzin,Otomatik Vites,2014,108.000,1300,76,115.000
ankara ,Polo,Dizel,Düz Vites,2012,170.700,1300,100,115.000
ankara ,Jetta,Benzin,Düz Vites,2008,230.000,1301,101,117.000
istanbul ,Polo,Dizel,Düz Vites,2013,194.000,1301,100,118.500
istanbul ,Golf,Benzin,Otomatik Vites,2001,65.700,1301,101,119.500
istanbul ,Golf,Benzin,Yarý Otomatik Vites,2009,205.000,1301,126,120.000
istanbul ,Golf,Benzin,Yarý Otomatik Vites,2009,205.000,1301,126,120.000
izmir ,Polo,Dizel,Düz Vites,2013,83.000,1301,76,120.000
istanbul ,Polo,Dizel,Düz Vites,2011,107.000,1300,100,123.900
